,Monocyte|Classical_general,Monocyte|ISG,Monocyte|Non-classical,Monocyte|Intermediate,Monocyte|Classical_CCL4,Monocyte|Classical_IL1R2,Monocyte|Classical_FABP5,Monocyte|HSP
Cancer_Tumor|Control,1.0,0.8592157516713059,0.9999999999999082,1.0,1.2414484679597464e-90,1.3776090123206934e-20,6.818502892534082e-39,1.2056975528092061e-26
Cancer_Tumor|Non-malignant disease,1.0,0.999972126368821,0.9988489478705082,0.999999999893108,2.6007918493379803e-70,2.652581344211055e-34,5.660814332736074e-22,1.206808561199173e-36
Cancer_Tumor|Cancer_AdjNorm,0.41603896591923745,0.0005466215212353952,0.9996664600140774,0.11602085613886132,0.6854349584942433,0.9999999999954963,7.778106110430204e-09,0.3745867253366165
