,Dendritic_classical|DC3,Dendritic_classical|DC2,Dendritic_classical|DC1,Dendritic_classical|FCGR3A,Dendritic_classical|EGR,Dendritic_classical|LAMP3,Dendritic_classical|ISG,Dendritic_classical|Langerhans,Dendritic_classical|ACY3,Dendritic_classical|AS-DC,Dendritic_classical|EREG,Dendritic_classical|HSP,Dendritic_classical|CXCL9
Cancer_Tumor|Control,1.0,1.0,0.014265406259920553,9.972379432252664e-32,0.036707472460753426,1.713464701439256e-29,0.45440792435830724,4.772443215368677e-17,1.4650776722481904e-12,1.6151589876575627e-16,4.204612012031892e-05,1.7002170198608707e-05,0.0015873330713556668
Cancer_Tumor|Non-malignant disease,1.0,1.0,0.5351021508011076,1.2669429109431109e-22,0.34277021929191703,2.0461967478403827e-19,0.992959107101043,4.526447043787735e-14,6.371041305849062e-09,2.2416674148714308e-13,7.951378434592841e-13,3.4742314848016386e-05,0.00908689935289835
Cancer_Tumor|Cancer_AdjNorm,0.7448713437760485,0.8151086199579143,0.9991383649038821,0.0002138568953409512,0.9999999999306267,2.757403302785502e-06,0.08543169325341049,0.00020300951674184095,0.12363211164588911,0.0015884982282526531,0.9999974040892128,0.9765515693389524,0.036132686964129315
