,T&NK|T&NK_ISG,T&NK|T_CD8_exhausted,T&NK|T_MAIT,T&NK|T_CD8_EMRA,T&NK|T_CD8_EM,T&NK|T_CD4_N&CM,T&NK|T_gdT_TRDV2,T&NK|T_CD8_MHCII,T&NK|NK_CD56,T&NK|T_CD8_N&CM,T&NK|NK_CD16,T&NK|T_CD4_EM_Th22,T&NK|T_CD4_EM_Tfh,T&NK|T_CD4_EM_Treg,T&NK|T_gdT_TRDV1,T&NK|T_CD8_activated,T&NK|T_CD4_activated,T&NK|T_CD8_RM,T&NK|T_CD4_RM_Th1,T&NK|T_CD4_RM_Th17,T&NK|T&NK_HSP,T&NK|T_CD4_EM_Th1,T&NK|ILC,T&NK|T_CD4_Eff_IL17,T&NK|NK_CXCR6,T&NK|T_CD4_RM_Treg,T&NK|T_CD8_KLRC2,T&NK|T_CD4_CXCL13,T&NK|T_CD4_EM_Th2,T&NK|T_CD4_EM_Th17,T&NK|T_CD4_Eff_IL13,T&NK|T_CD4_Eff_IFNG
Cancer_Tumor|Control,1.3138096654267691e-39,9.984384496966328e-138,0.9999999999999836,1.0,1.0,1.0,1.0,0.002551216709023424,0.9969784134437167,1.0,1.0,1.0,0.0446071562899504,3.7874532265594552e-31,0.9999999071631775,3.870784417687472e-28,2.2100363690390606e-06,7.553585300412375e-17,5.053047731320079e-15,0.0014068358497389178,1.6741967193709025e-20,0.041108913070988184,0.011099820836596658,3.403378247895093e-25,0.13651290753894108,7.435826315632887e-189,7.958757610403374e-31,3.0251704763470896e-116,1.0,0.9999999999471165,0.9551095679025192,0.484299414658426
Cancer_Tumor|Non-malignant disease,1.7740105354208937e-20,2.8736481982436644e-96,0.9999999525630651,1.0,0.9999999995467124,1.0,1.0,0.36190910271576104,0.9788444436360654,1.0,1.0,0.9999999999529994,0.9063762816562766,3.4132381367020805e-41,0.9989636053298198,2.484803044730149e-40,5.411624132986376e-15,1.5188338950954315e-26,1.566899928535548e-09,3.699079570587891e-08,3.641528198274022e-38,0.002335729982226673,0.0005140217452001435,1.1467236723542918e-13,0.05231525765162519,2.2694648188667218e-135,3.274253511916465e-52,3.3845321121645856e-93,0.9999999999964029,0.9999998115185151,0.9951825740599693,0.3841695974987645
Cancer_Tumor|Cancer_AdjNorm,3.527297275463703e-06,3.222280738727863e-13,0.9452499549808357,0.9999667750792413,0.05371063568378346,8.373387765394629e-06,0.929545540212632,0.005657037400883512,3.4261097942508585e-05,0.33751097652343265,0.999749120243821,0.7726485699494152,0.20683498308360176,1.1702265117567957e-06,0.403827375119447,0.9999999997222981,0.9999999838255347,0.0016824908607202594,0.041833340508496304,0.8488910855585918,0.9976836218509828,0.738113925794864,0.06356314329989568,0.46682725633521416,0.9952166565518739,2.959849000915032e-12,0.0015505548908431154,3.4333207368668385e-11,0.43634977299831335,0.5183949099943103,1.0,0.3454958322202345
