,B_mature|Naive,B_mature|Memory_switched,B_mature|Memory_unswitched,B_mature|Memory_atypical,B_mature|HSP,B_mature|ISG,B_mature|CCL4,B_mature|GBP,B_mature|EGR
Cancer_Tumor|Control,1.0,0.9999999992365634,6.331782401436536e-25,0.9999999998820791,3.501369963831749e-24,5.042728666561824e-10,3.1407307472591246e-11,4.6071628130165907e-08,4.4187698252048114e-16
Cancer_Tumor|Non-malignant disease,1.0,0.9851061582826336,3.6339616340999256e-23,1.0,6.335458058653005e-36,0.0005671246416791599,4.799116277369271e-11,0.0032068434053495235,3.0485969358511405e-20
Cancer_Tumor|Cancer_AdjNorm,0.4126293307366956,0.002914840370122819,0.9811481049909215,0.9266714109544527,0.8680726075693739,0.0039691432062966695,0.32615785792899143,0.03831926302846948,0.40303011320197973
