,B_mature|Naive,B_mature|Memory_switched,B_mature|Memory_unswitched,B_mature|Memory_atypical,B_mature|HSP,B_mature|ISG,B_mature|CCL4,B_mature|GBP,B_mature|EGR,Cancer_Tissue,Cancer_Type
GSE162806_MM3016_Ctrl,0.6124567474048442,0.2664359861591695,0.10380622837370242,0.0,0.0,0.01730103806228374,0.0,0.0,0.0,Control,
GSE130157_15424X6,0.4859154929577465,0.4295774647887324,0.056338028169014086,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,CRC
GSE142444_bt3-Monocytes_8,0.8805970149253731,0.0,0.04477611940298507,0.014925373134328358,0.0,0.05970149253731343,0.0,0.0,0.0,Non-malignant disease,
GSE178991_sample_I_1_5primeGEX,0.7133730834752982,0.020442930153321975,0.2661839863713799,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171555_936128-00,0.6619718309859155,0.13380281690140844,0.11619718309859155,0.0880281690140845,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE130157_14554X4,0.6708860759493671,0.3291139240506329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,CRC
GSE182381_KC42_1_placenta,0.9684014869888475,0.0,0.031598513011152414,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE132509_PBMMC_2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE167029_P12,0.811529933481153,0.03991130820399113,0.13082039911308205,0.017738359201773836,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171964_2053_42,0.5768025078369906,0.1724137931034483,0.1786833855799373,0.07210031347962383,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE181919_LN38,0.4217391304347826,0.10869565217391304,0.3978260869565217,0.0,0.010869565217391304,0.006521739130434782,0.0,0.0,0.05434782608695652,Cancer_Metastasis,HNSCC
GSE153559_4_HPV-53-TIL_GEX,0.0,0.07633587786259542,0.6793893129770993,0.0,0.0,0.07633587786259542,0.0,0.16793893129770993,0.0,Cancer_Tumor,HNSCC
GSE176417_Sc_W1,0.0,0.8571428571428571,0.10714285714285714,0.017857142857142856,0.017857142857142856,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE178991_D2_GEXL,0.748221906116643,0.0,0.25177809388335703,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171555_7085CA-14,0.7223880597014926,0.25522388059701495,0.022388059701492536,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE164690_HN09_PBL,0.6777777777777778,0.2111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,HNSCC
GSE178481_RCC-PR2-T,0.43795620437956206,0.043795620437956206,0.44525547445255476,0.0,0.0,0.0,0.06569343065693431,0.0,0.0072992700729927005,Cancer_Tumor,RCC
GSE136353_KS1,0.8142235123367199,0.06531204644412192,0.05079825834542816,0.055152394775036286,0.0,0.0,0.0,0.0,0.01451378809869376,Non-malignant disease,
GSE178991_B3_GEXL,0.7089678510998308,0.0,0.2910321489001692,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE133028_28_PB_uns_5pGEX,0.5559322033898305,0.2745762711864407,0.13898305084745763,0.02711864406779661,0.0,0.003389830508474576,0.0,0.0,0.0,Non-malignant disease,
GSE171555_0B943B-00,0.7312138728323699,0.24277456647398843,0.01878612716763006,0.0,0.0,0.0072254335260115606,0.0,0.0,0.0,Non-malignant disease,
GSE160517_S02,0.5873015873015873,0.2222222222222222,0.15873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.0,Control,
GSE178991_020218_5,0.4336468129571578,0.09926854754440961,0.4670846394984326,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE168522_17_20171027,0.4099264705882353,0.5330882352941176,0.034926470588235295,0.022058823529411766,0.0,0.0,0.0,0.0,0.0,Control,
GSE171703_S116_5prime,0.9477569562748438,0.05224304372515616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE178991_C1_GEXL,0.7562747688243064,0.0,0.24372523117569353,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE164241_GM283,0.19148936170212766,0.3597678916827853,0.34622823984526113,0.0,0.0,0.0,0.0,0.0,0.10251450676982592,Control,
GSE181919_P15,0.14285714285714285,0.32019704433497537,0.5369458128078818,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,Leukoplakia
GSE132338_p1035857-4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE168522_27_20171027,0.49032258064516127,0.14193548387096774,0.025806451612903226,0.3419354838709677,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE216329_P22_TN_ADM001_MorD3_4_G,0.7857142857142857,0.11904761904761904,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,NSCLC
GSE162806_MM3016_4h,0.44141689373297005,0.27520435967302453,0.2098092643051771,0.07356948228882834,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171555_77DA77-00,0.5107296137339056,0.3530042918454936,0.13626609442060086,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE129845_189,0.44189852700491,0.19476268412438624,0.3502454991816694,0.0,0.0,0.0,0.01309328968903437,0.0,0.0,Non-malignant disease,
GSE144469_C1-CD45,0.366412213740458,0.16539440203562342,0.43256997455470736,0.0,0.0,0.0,0.010178117048346057,0.007633587786259542,0.017811704834605598,Non-malignant disease,
GSE164690_HN12_CD45p,0.6489028213166145,0.16823406478578892,0.08881922675026123,0.0,0.0,0.09404388714733543,0.0,0.0,0.0,Cancer_Tumor,HNSCC
GSE149133_MG192B_NOIGHD_HHT,0.2939521800281294,0.7060478199718706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE179346_RD2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE202374_RS-03378691_P14_RS-03377710,0.3181818181818182,0.45454545454545453,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,RCC
GSE149133_TESTGEX_HHT,0.23481012658227848,0.5028481012658228,0.23322784810126582,0.02911392405063291,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE162806_MM3009_72h,0.8547619047619047,0.11071428571428571,0.034523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE164985_10XDISCEL_002,0.14713216957605985,0.08728179551122195,0.7655860349127181,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE168522_23_20171027,0.48034188034188036,0.4581196581196581,0.0547008547008547,0.0,0.0,0.0,0.006837606837606838,0.0,0.0,Non-malignant disease,
GSE164690_HN15_PBL,0.6742424242424242,0.12878787878787878,0.12121212121212122,0.06060606060606061,0.0,0.015151515151515152,0.0,0.0,0.0,Cancer_Blood,HNSCC
GSE171555_7768E4-02,0.7625418060200669,0.13043478260869565,0.10702341137123746,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE162806_MM3012_24h,0.8152492668621701,0.17008797653958943,0.01466275659824047,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE167029_P13,0.9208006962576153,0.0,0.07919930374238468,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE132338_p1035816-2,0.8846153846153846,0.11153846153846154,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE182381_KC40_1_placenta,0.63671875,0.03515625,0.296875,0.0,0.0,0.0,0.03125,0.0,0.0,Control,
GSE144945_pat5,0.08544303797468354,0.0,0.8322784810126582,0.0,0.06645569620253164,0.0,0.0,0.0,0.015822784810126583,Cancer_Tumor,NSCLC
GSE154405_SZ687c,0.21428571428571427,0.35714285714285715,0.37142857142857144,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,Control,
GSE162806_MM3020_Ctrl,0.6461538461538462,0.14615384615384616,0.1076923076923077,0.1,0.0,0.0,0.0,0.0,0.0,Control,
GSE136035_Mountz-AllBcells,0.5420765027322404,0.25846994535519124,0.1726775956284153,0.026775956284153007,0.0,0.0,0.0,0.0,0.0,Control,
GSE171703_S50_RNA,0.3426086956521739,0.08,0.5721739130434783,0.0052173913043478265,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE132338_p1035871-4,0.5760869565217391,0.2608695652173913,0.14130434782608695,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,Control,
GSE168933_NASH1_LIB037227,0.45614035087719296,0.24561403508771928,0.12280701754385964,0.17543859649122806,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE162616_IT,0.6708860759493671,0.0,0.20253164556962025,0.0,0.0,0.0,0.12658227848101267,0.0,0.0,Cancer_Tumor,HCC
GSE166992_IVAR2_5D_CKDL200155936-1a-SI_GA_B2_H5NG5DSXY,0.7237880496054115,0.22435174746335965,0.05186020293122886,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE164690_HN15_CD45p,0.125,0.6136363636363636,0.11363636363636363,0.0,0.0,0.03409090909090909,0.011363636363636364,0.0,0.10227272727272728,Cancer_Tumor,HNSCC
GSE129845_128,0.6355311355311355,0.056776556776556776,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE150877_Yonatan_PTM,0.33805668016194335,0.32793522267206476,0.2975708502024291,0.03643724696356275,0.0,0.0,0.0,0.0,0.0,Control,
GSE121380_col3,0.2184873949579832,0.6050420168067226,0.1092436974789916,0.0,0.0,0.03361344537815126,0.03361344537815126,0.0,0.0,Non-malignant disease,
GSE171555_460F8D-00,0.9411764705882353,0.0,0.016339869281045753,0.042483660130718956,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE221320_CDAVFANXX_06_D15_GEX,0.019417475728155338,0.23786407766990292,0.6310679611650486,0.0,0.0,0.0,0.0,0.0,0.11165048543689321,Non-malignant disease,
GSE173303_63B-5GE,0.7601880877742947,0.23981191222570533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE166992_IVAR3_5D_CKDL200155937-1a-SI_GA_C2_H5NG5DSXY,0.3862815884476534,0.3971119133574007,0.021660649819494584,0.19494584837545126,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE136035_78trans,0.8153252480705623,0.14498346196251377,0.0,0.03969128996692393,0.0,0.0,0.0,0.0,0.0,Control,
GSE145809_SIGAA4,0.19212962962962962,0.07407407407407407,0.44675925925925924,0.0,0.0,0.09490740740740741,0.0,0.19212962962962962,0.0,Control,
GSE157591_Patient_2,0.7375,0.225,0.025,0.0,0.0,0.0,0.0,0.0125,0.0,Non-malignant disease,
GSE154405_AJ100,0.4410958904109589,0.20821917808219179,0.3150684931506849,0.0,0.0,0.0,0.019178082191780823,0.0,0.01643835616438356,Control,
GSE153117_HE007,0.0,0.5737359550561798,0.0,0.0,0.0,0.4262640449438202,0.0,0.0,0.0,Control,
GSE171555_450905-07,0.5,0.2909090909090909,0.0,0.20909090909090908,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE132338_p1035835-3,0.8148148148148148,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE162806_MM3015_Ctrl,0.8787878787878788,0.06060606060606061,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE171703_S144_5prime,0.5404814004376368,0.19956236323851204,0.22450765864332603,0.035448577680525166,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE166489_Y28-4-5P_HHT,0.3884372177055104,0.09033423667570009,0.5212285456187895,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE171381_CNTRL_3__decidua__HCR,0.0967741935483871,0.0967741935483871,0.5,0.0,0.016129032258064516,0.0,0.2903225806451613,0.0,0.0,Control,
GSE164015_ACE-044-AC-Epi,0.15384615384615385,0.5274725274725275,0.26373626373626374,0.0,0.0,0.0,0.03296703296703297,0.02197802197802198,0.0,Non-malignant disease,
GSE145370_R3A5,0.0,0.08641975308641975,0.037037037037037035,0.0,0.7777777777777778,0.0,0.0,0.0,0.09876543209876543,Cancer_Tumor,ESCA
GSE144870_TTA15,0.25742574257425743,0.35148514851485146,0.14356435643564355,0.0,0.0,0.23267326732673269,0.0,0.01485148514851485,0.0,Control,
GSE158924_scGA2_HHT,0.0,0.09259259259259259,0.5555555555555556,0.0,0.2777777777777778,0.0,0.0,0.0,0.07407407407407407,Non-malignant disease,
GSE139249_CY129-2-Blood,0.623015873015873,0.3373015873015873,0.011904761904761904,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,MEL
GSE161192_P2S_GEX,0.0,0.13131313131313133,0.30303030303030304,0.1414141414141414,0.0,0.0,0.0,0.42424242424242425,0.0,Non-malignant disease,
GSE150516_CHO4S,0.019230769230769232,0.34615384615384615,0.5192307692307693,0.0,0.019230769230769232,0.0,0.0,0.0,0.09615384615384616,Non-malignant disease,
GSE155673_cov_scrna_08,0.27358490566037735,0.16981132075471697,0.27358490566037735,0.2830188679245283,0.0,0.0,0.0,0.0,0.0,Control,
GSE179886_FLV,0.8448074679113186,0.15519253208868145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE181919_C9_1,0.4884210526315789,0.07368421052631578,0.4378947368421053,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,HNSCC
GSE133028_10_PB_uns_5pGEX,0.6805555555555556,0.2604166666666667,0.019097222222222224,0.03993055555555555,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171555_B85D75-07,0.5470219435736677,0.41849529780564265,0.02037617554858934,0.014106583072100314,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE129845_run230_181,0.3296,0.0432,0.6224,0.0,0.0,0.0,0.0048,0.0,0.0,Non-malignant disease,
GSE171555_52BA23-00,0.5136054421768708,0.1445578231292517,0.34183673469387754,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE142444_bt1-Monocytes_8,0.8676470588235294,0.014705882352941176,0.029411764705882353,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,Non-malignant disease,
GSE171703_R125_RNA,0.16129032258064516,0.2838709677419355,0.017204301075268817,0.5118279569892473,0.0,0.025806451612903226,0.0,0.0,0.0,Non-malignant disease,
GSE167029_P43,0.4817880794701987,0.011589403973509934,0.4917218543046358,0.014900662251655629,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE202374_RS-03378686_C23_RS-03377705,0.0,0.9585798816568047,0.029585798816568046,0.0,0.0,0.0,0.0,0.011834319526627219,0.0,Cancer_Tumor,RCC
GSE162616_xgl20181010,0.35064935064935066,0.0,0.4805194805194805,0.0,0.012987012987012988,0.0,0.11688311688311688,0.0,0.03896103896103896,Control,
GSE178991_sample_II_2_5primeGEX,0.7697426796805679,0.0,0.2267080745341615,0.0,0.0,0.0,0.00354924578527063,0.0,0.0,Non-malignant disease,
GSE136103_healthy4_cd45plus_2,0.41875,0.43125,0.05,0.03125,0.0,0.0,0.06875,0.0,0.0,Control,
GSE213282_GEX_NextGEM_D,0.5843828715365239,0.23173803526448364,0.18387909319899245,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE161329_8donor_PBMC_AH,0.591743119266055,0.1559633027522936,0.25229357798165136,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE168859_AHMWWJBBXX_LGL_15_bt1,0.6792452830188679,0.16037735849056603,0.16037735849056603,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE169657_h41AP-GEX,0.22413793103448276,0.07931034482758621,0.5689655172413793,0.0,0.0,0.02413793103448276,0.03793103448275862,0.0,0.06551724137931035,Cancer_Tumor,BRCA
GSE155673_cov_scrna_01,0.8103092783505155,0.18762886597938144,0.0,0.0,0.0,0.0,0.002061855670103093,0.0,0.0,Non-malignant disease,
GSE129845_190,0.015873015873015872,0.6428571428571429,0.21428571428571427,0.0,0.047619047619047616,0.0,0.0,0.023809523809523808,0.05555555555555555,Non-malignant disease,
GSE167029_C24,0.33116883116883117,0.43506493506493504,0.11363636363636363,0.12012987012987013,0.0,0.0,0.0,0.0,0.0,Control,
GSE162806_MM3008_4h,0.6744186046511628,0.1001788908765653,0.1592128801431127,0.06618962432915922,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171964_2053_7,0.4669811320754717,0.3584905660377358,0.11084905660377359,0.06367924528301887,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE155673_cov_scrna_02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Non-malignant disease,
GSE133028_16_CSF_uns_3pGEX,0.0,0.8633879781420765,0.12568306010928962,0.0,0.0,0.01092896174863388,0.0,0.0,0.0,Non-malignant disease,
GSE178481_RCC-PR4-N,0.4948148148148148,0.0,0.49037037037037035,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,Cancer_AdjNorm,RCC
GSE178991_sample_III_1_5primeGEX,0.7703533026113671,0.0,0.22964669738863286,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE130157_14562X4,0.6153846153846154,0.25,0.09615384615384616,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,HCC
GSE213282_GEX_NextGEM_A,0.6236559139784946,0.1935483870967742,0.1827956989247312,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE166489_Y124-1_re-5P_HHT,0.6477916194790487,0.09399773499433749,0.2582106455266138,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171555_BAAF62-14,0.2342857142857143,0.6285714285714286,0.13714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE200173_Gene_express_2-1,0.4288079470198676,0.019867549668874173,0.5215231788079471,0.0,0.0,0.0,0.0,0.0,0.029801324503311258,Control,
GSE185427_Boostrix_Ind2_GEX,0.5506787330316743,0.14796380090497738,0.3013574660633484,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE155673_cov_scrna_04,0.19718309859154928,0.18309859154929578,0.28169014084507044,0.3380281690140845,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE168933_NASH1_LIB037225,0.4791666666666667,0.28125,0.19791666666666666,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0,Non-malignant disease,
GSE144469_C5-CD45,0.36129032258064514,0.17419354838709677,0.1935483870967742,0.01935483870967742,0.15483870967741936,0.0,0.0,0.03870967741935484,0.05806451612903226,Non-malignant disease,
GSE202374_RS-03378685_C1_RS-03377704,0.1875,0.5546875,0.25,0.0,0.0078125,0.0,0.0,0.0,0.0,Cancer_Tumor,RCC
GSE166489_NC-13F-5P_HHT,0.7096045197740113,0.2621468926553672,0.02824858757062147,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE171555_0B943B-03,0.7737104825291181,0.17387687188019968,0.0524126455906822,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE121380_col6,0.553395240858967,0.2930934416715032,0.1535113174695299,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE175386_scRNAseq_3,0.43103448275862066,0.4051724137931034,0.07758620689655173,0.02586206896551724,0.008620689655172414,0.0,0.0,0.05172413793103448,0.0,Control,
GSE130157_15424X5,0.23076923076923078,0.7564102564102564,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,CRC
GSE144469_CT1-CD45,0.18309859154929578,0.5586854460093896,0.24178403755868544,0.0,0.01643192488262911,0.0,0.0,0.0,0.0,Control,
GSE176417_Sc_W3,0.047619047619047616,0.49206349206349204,0.06349206349206349,0.0,0.36507936507936506,0.031746031746031744,0.0,0.0,0.0,Non-malignant disease,
GSE175386_scRNAseq_9,0.3267148014440433,0.41155234657039713,0.17509025270758122,0.08664259927797834,0.0,0.0,0.0,0.0,0.0,Control,
GSE129845_127,0.953757225433526,0.0,0.046242774566473986,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171703_S266_RNA,0.5283620140216698,0.14467813894200127,0.32695984703632885,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE144945_pat4,0.20512820512820512,0.01282051282051282,0.7307692307692307,0.0,0.038461538461538464,0.0,0.01282051282051282,0.0,0.0,Cancer_Tumor,NSCLC
GSE155850_HSEx17Myeloid,0.25742574257425743,0.04950495049504951,0.1782178217821782,0.0,0.44554455445544555,0.0,0.0297029702970297,0.039603960396039604,0.0,Non-malignant disease,
GSE164690_HN17_CD45n,0.4006928406466513,0.4110854503464203,0.18822170900692842,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,HNSCC
GSE182244_HD3,0.5462962962962963,0.39814814814814814,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE171703_S92_5prime,0.7728544776119403,0.11054104477611941,0.1166044776119403,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE182221_Amit2_8133091516,0.9398069278818852,0.051391254968767744,0.008801817149346962,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE171703_S218_RNA,0.6190036900369004,0.17896678966789667,0.20202952029520296,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE136035_Mountz_182_AllB,0.48132780082987553,0.25864453665283543,0.034578146611341634,0.10096818810511757,0.0,0.12171507607192254,0.0,0.0027662517289073307,0.0,Non-malignant disease,
GSE167029_C27_bis,0.8213649851632048,0.14421364985163204,0.020771513353115726,0.013649851632047478,0.0,0.0,0.0,0.0,0.0,Control,
GSE181919_C6,0.05104408352668213,0.2296983758700696,0.6496519721577726,0.0,0.030162412993039442,0.018561484918793503,0.0,0.0,0.02088167053364269,Cancer_Tumor,HNSCC
GSE166489_Y117_re-5P_HHT,0.5970588235294118,0.18823529411764706,0.09117647058823529,0.12352941176470589,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE136103_healthy4_cd45plus_3,0.45962732919254656,0.40372670807453415,0.055900621118012424,0.0,0.0,0.0,0.06832298136645963,0.0,0.012422360248447204,Control,
GSE156776_A04,0.5212765957446809,0.0,0.41843971631205673,0.0,0.0070921985815602835,0.0,0.0,0.0,0.05319148936170213,Non-malignant disease,
GSE131778_rca1-1,0.029585798816568046,0.5502958579881657,0.3905325443786982,0.0,0.0,0.0,0.0,0.0,0.029585798816568046,Non-malignant disease,
GSE136103_healthy2_cd45-_2,0.7692307692307693,0.019230769230769232,0.11538461538461539,0.0,0.0,0.0,0.07692307692307693,0.019230769230769232,0.0,Control,
GSE155673_cov_scrna_18,0.3333333333333333,0.45614035087719296,0.17543859649122806,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,Control,
GSE171555_7768E4-14,0.7732656514382402,0.155668358714044,0.07106598984771574,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE164241_PD164,0.047619047619047616,0.3523809523809524,0.4095238095238095,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,Non-malignant disease,
GSE166489_111-GEX_HCR,0.964622641509434,0.01768867924528302,0.01768867924528302,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE144469_CT6-CD45,0.3127413127413127,0.38223938223938225,0.25096525096525096,0.0,0.0,0.0,0.007722007722007722,0.0,0.04633204633204633,Control,
GSE167029_C32,0.6980994152046783,0.1476608187134503,0.10124269005847954,0.05299707602339181,0.0,0.0,0.0,0.0,0.0,Control,
GSE129845_run230_180,0.10526315789473684,0.2982456140350877,0.5614035087719298,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,Non-malignant disease,
GSE171703_S407_RNA,0.7048371174728529,0.0700888450148075,0.1885488647581441,0.03652517275419546,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE144469_CT3-CD45,0.2852233676975945,0.41580756013745707,0.20618556701030927,0.0,0.0,0.0,0.030927835051546393,0.0,0.061855670103092786,Control,
GSE178991_D3_GEXL,0.7805907172995781,0.0,0.21940928270042195,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE153559_1_Flu_Activated,0.0,0.632088520055325,0.367911479944675,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE162806_MM3038_72h,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE131778_rca3-1,0.047619047619047616,0.3333333333333333,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,Non-malignant disease,
GSE181919_C84,0.2320675105485232,0.29957805907172996,0.42616033755274263,0.029535864978902954,0.012658227848101266,0.0,0.0,0.0,0.0,Cancer_Tumor,HNSCC
GSE162806_MM3001_72h,0.711764705882353,0.17647058823529413,0.11176470588235295,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE166489_Y70-4-5P_HHT,0.8318452380952381,0.03571428571428571,0.1324404761904762,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE139891_GC3a,0.25,0.5961538461538461,0.1346153846153846,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,Control,
GSE179159_Fresh_1667,0.3770139634801289,0.34156820622986034,0.2814178302900107,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE165045_BL5,0.10344827586206896,0.038314176245210725,0.5708812260536399,0.0,0.27586206896551724,0.0,0.0,0.0,0.011494252873563218,Non-malignant disease,
GSE159117_RA-CW,0.60450563204005,0.2390488110137672,0.05006257822277847,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE138867_scRNA_V039_F093,0.29245283018867924,0.040880503144654086,0.031446540880503145,0.11320754716981132,0.5220125786163522,0.0,0.0,0.0,0.0,Control,
GSE165045_BL3,0.0,0.020905923344947737,0.07665505226480836,0.0,0.89198606271777,0.0,0.0,0.0,0.010452961672473868,Non-malignant disease,
GSE171555_BAAF62-00,0.362962962962963,0.5703703703703704,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE168933_Healthy2_POOL_20190312_healthy_2,0.39655172413793105,0.3448275862068966,0.22413793103448276,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,Control,
GSE130157_14546X4,0.11940298507462686,0.6567164179104478,0.0,0.208955223880597,0.0,0.014925373134328358,0.0,0.0,0.0,Cancer_Blood,PC
GSE182221_Amit8_8401452150,0.7353612167300381,0.16844106463878328,0.08326996197718631,0.0,0.0,0.012927756653992395,0.0,0.0,0.0,Control,
GSE136103_healthy2_cd45plus_1,0.6770833333333334,0.125,0.14583333333333334,0.0,0.0,0.0,0.052083333333333336,0.0,0.0,Control,
GSE133028_31_CSF_uns_5pGEX,0.05,0.6625,0.275,0.0,0.0,0.0125,0.0,0.0,0.0,Non-malignant disease,
GSE178481_RCC-PR5-N,0.25339366515837103,0.027149321266968326,0.36199095022624433,0.0,0.3574660633484163,0.0,0.0,0.0,0.0,Cancer_AdjNorm,RCC
GSE216329_P23_TN_ADM001_MorD3_5_G,0.7588652482269503,0.24113475177304963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,PRC
GSE138867_scRNA_V044_F037,0.5824175824175825,0.23626373626373626,0.06593406593406594,0.08791208791208792,0.027472527472527472,0.0,0.0,0.0,0.0,Control,
GSE133028_2_PB_uns_5pGEX,0.35076252723311546,0.3311546840958606,0.31808278867102396,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE162806_MM3020_72h,0.2847682119205298,0.3576158940397351,0.2582781456953642,0.09933774834437085,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE178481_RCC-PR3-N,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_AdjNorm,RCC
