,Endothelial|Venous_activated,Endothelial|Capillary_activated,Endothelial|Arterial,Endothelial|Capillary_general,Endothelial|Lymphatic_LYVE1,Endothelial|Venous_general,Endothelial|Sinusoidal,Endothelial|BMP4,Endothelial|Venous_C7,Endothelial|CXCR4,Endothelial|Capillary_BBB,Endothelial|Capillary_aerocyte,Endothelial|Venous_ISG,Endothelial|Venous_DPEP1,Endothelial|Lymphatic_HGF,Endothelial|Venous_CXCL10
Cancer_Tumor|Control,0.0009660037628023883,0.9948818346464685,0.6566034452297698,0.9999256363181283,0.9223407419607629,2.0468518996312967e-07,0.9806863118931101,0.9997267344638534,0.7829001467976882,6.961831392389137e-86,0.999920144006075,0.8810640987691893,0.2903928264587591,0.2675540105340829,0.8376375341350331,0.16078619520893606
Cancer_Tumor|Non-malignant disease,1.5381698791953943e-16,0.02514560599692343,0.6874284771563872,0.9999999999999372,0.9626909140815936,0.04836665027954586,0.9995104774631209,0.9999999033484807,0.9973963681015467,2.048735512639905e-62,0.9989336414681718,0.9826171671755477,0.10145599474888217,0.14092080587258782,0.20051349172142174,0.7962110080908193
Cancer_Tumor|Cancer_AdjNorm,0.008390853365737395,0.24323579022753306,0.9994108107943946,0.8431467898090717,0.9941799252023497,6.540683460429209e-06,0.9555407501133681,0.9907121355685049,0.45247875056518044,1.6382819421761295e-20,1.0,0.998454835047028,0.08691141518088813,0.7694175998686066,0.8939795168062458,0.08691173474433034
