,Fibroblast|IL6,Fibroblast|HSP,Fibroblast|Universal,Fibroblast|KLK1,Fibroblast|LRRC15,Fibroblast|IL24,Fibroblast|CST2,Fibroblast|Alveolar,Fibroblast|CLDN1,Fibroblast|GREM2,Fibroblast|Corneal,Fibroblast|COX15,Fibroblast|CD36,Fibroblast|CCL19,Fibroblast|ISG,Fibroblast|Chondrocyte,Fibroblast|Dermal-sheath,Fibroblast|SYT1,Fibroblast|COCH,Fibroblast|ITGB8,Fibroblast|CLEC14A,Fibroblast|Satellite,Fibroblast|NRG1,Fibroblast|ADAMDEC1
Cancer_Tumor|Control,0.9508371691534228,0.006284202061136511,0.9999999999999396,0.46988363851624537,4.68708672659564e-80,1.298088447372522e-16,2.496539183810417e-25,0.03944751916954996,0.28503826199917137,0.9999964000149351,0.9834416628496216,0.9996554219570034,0.9633060762440039,0.12408216631069885,1.8977254653440673e-25,0.9954356502780999,0.9999819239612235,0.9011536822091328,0.9999469802011641,0.9465959271665872,0.9999997278229014,0.3307536601006942,0.2462382014235503,0.9876705549053122
Cancer_Tumor|Non-malignant disease,3.7485583444895374e-05,2.2896672983122797e-05,0.9999006183445582,0.0003173253657801345,3.14457945586935e-24,3.0149881774658684e-15,5.097381930907322e-06,0.45114461530576877,0.16999440904572427,0.9999999999999639,0.9999369008603296,0.7350423334853434,0.9824920539021256,0.9999999809065583,9.74196158942875e-13,0.8124177300065998,0.9999999999998636,0.4220331931209563,0.9999999999799696,0.99961904051905,0.9999999999999485,2.242660109085567e-05,0.5125461035738847,0.9989093396843581
Cancer_Tumor|Cancer_AdjNorm,0.2079446334112912,0.26430766803415606,0.8206453559472942,0.0067070030675538475,1.9785283954630617e-10,0.002942345629254465,0.001352951028934768,0.6571673164424674,0.8984489183217201,0.6901404939968774,0.4411666730054092,1.0,0.9911854427895598,0.010638273465772953,0.002189951778144228,1.0,0.6373775802776771,0.3218055531582082,1.0,0.17220915950678545,0.9999999994411636,0.9716309549934536,0.9579348594254935,0.8722408127936765
