,Macrophage|LYVE1,Macrophage|EREG,Macrophage|ISG,Macrophage|HSP,Macrophage|CX3CR1,Macrophage|Alveolar,Macrophage|MATK
Cancer_Tumor|Control,0.06464390408919621,2.1171348535646384e-78,1.7603243973217688e-132,6.514395705882476e-28,1.0,9.068860146333023e-28,1.2720194194253997e-71
Cancer_Tumor|Non-malignant disease,0.9999999914021825,1.8720937741392216e-32,8.582039941997157e-31,2.366038218518967e-18,0.8605600248337768,1.0744789844786459e-05,1.4061345473514197e-22
Cancer_Tumor|Cancer_AdjNorm,0.9999999934751947,0.9952964991884578,7.342997523038205e-16,0.9987082774531575,0.8359920562242529,3.158988503745395e-10,2.1204631988784547e-17
