,Mural|FGF7,Mural|RERGL,Mural|CD36,Mural|TNFAIP6,Mural|SPINT2,Mural|LAMC3,Mural|ISG,Mural|ROBO2
Cancer_Tumor|Control,0.6001951865723913,0.24316251119411986,0.024328804382615504,6.97520651753661e-50,0.9999999974445944,0.017232102909209155,1.3801344221579757e-16,
Cancer_Tumor|Non-malignant disease,0.024190473454324884,0.022882242230138985,0.9951993476127742,6.5564125566484495e-25,0.999999999999901,0.0371666377963165,4.457737926490731e-06,
Cancer_Tumor|Cancer_AdjNorm,5.882156674701611e-10,2.3506990052491394e-06,4.9637747031585964e-11,1.4086372945760583e-11,0.9999999999999987,0.7018407382974989,2.5199710516994104e-05,
