,Ductal,Fibroblast,Endothelial,Mural,Plasma,T&NK,B_GC,Dendritic_plasmacytoid,Macrophage,Monocyte,B_mature,Dendritic_classical,Platelet,Hematopoietic,Squamous,Mast&Basophil,Hepatocyte,Neuron_excitatory,Astrocyte,Oligodendrocyte_mature,Neuron_inhibitory,Oligodendrocyte_progenitor,Erythroid,Neutrophil,Melanocyte,Schwann,B_progenitor,Ciliated,Muller,Rod,Neuron_bipolar,Spermatocyte,Organ
2021_Ren_Cell_COVID|S-M057,0.0,0.0,0.0,0.0,0.020348837209302327,0.39244186046511625,0.0,0.0,0.0,0.0,0.5697674418604651,0.01744186046511628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
BICCN|10X204-4_S2,0.0,0.01274409044193217,0.006372045220966085,0.002672147995889003,0.0,0.005344295991778006,0.0,0.0,0.030626927029804726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022610483042137717,0.07132579650565261,0.30236382322713257,0.5430626927029805,0.023227132579650565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
2021_Elmentaite_Nature_Intestine|4918STDY7844898,0.15384615384615385,0.03076923076923077,0.008547008547008548,0.0,0.04843304843304843,0.294017094017094,0.14985754985754987,0.0,0.02621082621082621,0.0,0.2883190883190883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intestine
2023_Kumar_Nature_Breast|hbca_c149,0.4859401231113598,0.16976776720761053,0.08981533296026861,0.05707890318970341,0.007974258533855624,0.05274202574146614,0.0,0.0,0.010072747621712367,0.0,0.0,0.0,0.0,0.0,0.12017347509792949,0.006435366536094013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breast
2021_Ren_Cell_COVID|S-HC019-2,0.0,0.0,0.0,0.0,0.0,0.9379367036580354,0.0,0.0,0.0,0.04932182490752158,0.009042334566378957,0.0036991368680641184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
2021_Elmentaite_Nature_Intestine|Human_colon_16S8000489,0.5364583333333334,0.17708333333333334,0.2552083333333333,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intestine
2023_Kong_Immunity_CD|N130064_N3,0.16358626251764233,0.14812823442435646,0.1384501646616036,0.11822031050473822,0.16190604207271994,0.13905504402177565,0.0,0.0,0.06693998252570738,0.0,0.015659654546676526,0.030042341555212043,0.0,0.0,0.0,0.004839034881376437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01317292828819141,0.0,0.0,0.0,0.0,0.0,0.0,Intestine
2021_Stephenson_NatMed_COVID19|BGCV15_CV0257,0.0,0.0,0.0,0.0,0.0,0.8271604938271605,0.0,0.0,0.0,0.027777777777777776,0.14506172839506173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
SEAAD|NW_TX0029-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6745860331173507,0.0,0.0,0.3254139668826494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
ROSMAP|191213-B7-B_Broad_S2,0.0,0.004003960907564472,0.020105911224006543,0.0035734274766435615,0.0,0.0,0.0,0.0,0.017049123864468076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4810350023679339,0.14285099237955828,0.1722133723683644,0.13191544323416712,0.027252766177293667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
