,spec,entropy,avg,cell
T&NK|T_CD4_activated,0.13333333333333333,3.2661716442476836,0.09533479401257981,T&NK
T&NK|T_CD8_EM,0.17777777777777778,3.1562073789938325,0.027893569481170777,T&NK
T&NK|T_CD8_EMRA,0.2,3.141966665886776,0.021016968500478246,T&NK
T&NK|T_CD8_KLRC2,0.5777777777777777,2.019513538868835,0.003757330581950915,T&NK
T&NK|T_CD8_MHCII,0.4888888888888889,2.4793037663767787,0.001615486991654949,T&NK
T&NK|T_CD8_N&CM,0.5555555555555556,2.2065597144422746,0.010989047402181578,T&NK
T&NK|T_CD8_RM,0.3333333333333333,2.869347601354013,0.0143065824248941,T&NK
T&NK|T_CD8_activated,0.17777777777777778,3.2090334553161375,0.10423914600121904,T&NK
T&NK|T_CD8_exhausted,0.5333333333333333,2.0095838916909785,0.005504125558164381,T&NK
T&NK|T_MAIT,0.26666666666666666,2.802327713623046,0.008395308066989555,T&NK
T&NK|T_gdT_TRDV1,0.7333333333333333,1.1507574628545612,0.008129108607536052,T&NK
T&NK|T_gdT_TRDV2,0.5777777777777777,1.9691035911587034,0.004573066226347406,T&NK
