,PANGEA_annotation,SEN,PPV,CFS,score
Plasma cells@Habermann_2020_Lung|COVID-19,Plasma,0.995347971715668,0.9521181915272339,0.9889987139422636,0.9786344697964442
HSPC@Hao_2021_Blood,Hematopoietic,0.9619047619047619,0.9782082324455206,0.9944485654478188,0.9780969498679232
Plasma cells@Melms_2021_Lung,Plasma,0.9955481357818586,0.9499115044247788,0.9888104657295236,0.9778813313148323
Mast@Chan_2021_Lung|SCLC,Mast&Basophil,0.9968429360694554,0.9376391982182628,0.9998516943535464,0.9776859162469635
Mast@Chan_2021_Lung|SCLC,Mast&Basophil,0.9968429360694554,0.9376391982182628,0.9998516943535464,0.9776859162469635
Endothelial_CCL21@Fan_2023_Cancer|CC,Endothelial|Lymphatic_LYVE1,0.9669669669669669,0.9698795180722891,0.9954873234495888,0.9773611084699447
Myeloid_c4_DCs_pDC_IRF7@Wu_2021_Cancer|BRCA,Dendritic_plasmacytoid,0.9516616314199395,0.9782608695652174,0.999847657123516,0.9763908295764304
platelet@Szabo_2021_Airway|COVID-19,Platelet,0.9617021276595744,0.9699570815450643,0.9956653106826594,0.9756682155027012
platelet@Szabo_2021_Blood|COVID-19,Platelet,0.9617021276595744,0.9699570815450643,0.9956653106826594,0.9756682155027012
cM10 (Granulocyte)@Pelka_2021_Cancer|CRC,Neutrophil,0.9716103768967205,0.9607938044530494,0.9929834042912868,0.9750377780571775
pDC@Dominguez-Conde_2022_Multiple,Dendritic_plasmacytoid,0.9663394109396914,0.9690576652601969,0.9882634485933598,0.974504873651885
Platelet@Hao_2021_Blood,Platelet,0.9421992481203008,0.9940505701536936,0.9870328718627396,0.9741539956657858
Platelet@Hao_2021_Blood,Platelet,0.9417566932832315,0.9940505701536936,0.9870328718627396,0.9740014504087248
Lymphatic@Shiao_2024_Breast|BRCA,Endothelial|Lymphatic_LYVE1,0.9616228070175439,0.9887260428410372,0.9687758389898083,0.9729742406797843
DC1@Park_2020_Thymus,Dendritic_classical|DC1,0.9884309472161966,0.9460207612456747,0.9846804829418428,0.9728534961688398
pDC@Adams_2020_Lung|IPF,Dendritic_plasmacytoid,0.9943422913719944,0.9323607427055703,0.991636884632012,0.9723535129076253
Dendritic_Plasmacytoid@Adams_2020_Lung|IPF,Dendritic_plasmacytoid,0.9943422913719944,0.9323607427055703,0.991636884632012,0.9723535129076253
plasma cells@Hirz_2023_Cancer|PRC,Plasma,0.9570267131242741,0.9603729603729604,0.9992394160929284,0.9720259223449264
