,Organ,Ductal|Gland_MUCL1,Ductal|DEFB4A,T&NK|T&NK_ISG,T&NK|T_CD8_exhausted,T&NK|T_MAIT,T&NK|T_CD8_EMRA,T&NK|T_CD8_EM,T&NK|T_CD4_N&CM,T&NK|T_gdT_TRDV2,T&NK|T_CD8_MHCII,T&NK|NK_CD56,T&NK|T_CD8_N&CM,T&NK|NK_CD16,T&NK|T_CD4_EM_Th22,T&NK|T_CD4_EM_Tfh,T&NK|T_CD4_EM_Treg,T&NK|T_gdT_TRDV1,Monocyte|Classical_general,Monocyte|ISG,Monocyte|Non-classical,Monocyte|Intermediate,B_mature|Naive,B_mature|Memory_switched,B_mature|Memory_unswitched,B_mature|Memory_atypical,Dendritic_classical|DC3,Dendritic_classical|DC2,Dendritic_classical|DC1,Ductal|Gland_LTF,Fibroblast|IL6,Fibroblast|HSP,Fibroblast|Universal,Fibroblast|KLK1,Endothelial|Venous_activated,Endothelial|Capillary_activated,Endothelial|Arterial,Endothelial|Capillary_general,Endothelial|Lymphatic_LYVE1,Endothelial|Venous_general,Squamous|Myoepithelial,T&NK|T_CD8_activated,T&NK|T_CD4_activated,T&NK|T_CD8_RM,T&NK|T_CD4_RM_Th1,Mural|FGF7,Mural|RERGL,Mural|CD36,Ductal|Enterocyte,Ductal|Gastrointestinal_common,Ductal|Goblet,Ductal|Tuft,T&NK|T_CD4_RM_Th17,T&NK|T&NK_HSP,T&NK|T_CD4_EM_Th1,T&NK|ILC,T&NK|T_CD4_Eff_IL17,T&NK|NK_CXCR6,Endothelial|Sinusoidal,Endothelial|BMP4,Endothelial|Venous_C7,Macrophage|LYVE1,Macrophage|EREG,Monocyte|Classical_IL1R2,Monocyte|HSP,Endothelial|CXCR4,Macrophage|CX3CR1,Monocyte|Classical_CCL4,Monocyte|Classical_FABP5,Ductal|Pancreatobiliary_ductal,Ductal|Pancreatobiliary_acinar,Dendritic_classical|FCGR3A,Dendritic_classical|EGR,Dendritic_classical|LAMP3,B_mature|CCL4,B_mature|HSP,T&NK|T_CD4_EM_Th2,Endothelial|Capillary_BBB,Mural|SPINT2,Fibroblast|CST2,Fibroblast|Alveolar,Fibroblast|LRRC15,T&NK|T_CD4_CXCL13,T&NK|T_CD4_RM_Treg,Dendritic_classical|ISG,Macrophage|Alveolar,Dendritic_classical|EREG,Dendritic_classical|AS-DC,Mural|TNFAIP6,Squamous|Eccrine,Squamous|Keratinocyte_basal,Squamous|Keratinocyte_spinous,Squamous|MHCII,Fibroblast|GREM2,Fibroblast|IL24,Fibroblast|CLDN1,Macrophage|MATK,Squamous|Corneal,Ductal|Conjunctival,Ductal|KLK7,Ductal|Club,Fibroblast|Corneal,Fibroblast|COX15,Macrophage|HSP,Fibroblast|CD36,Fibroblast|Chondrocyte,Squamous|Keratinocyte_granular,Squamous|HFSC,Endothelial|Venous_ISG,Fibroblast|CCL19,Fibroblast|Dermal-sheath,Ductal|Gland_CA6,T&NK|T_CD8_KLRC2,Endothelial|Capillary_aerocyte,Mural|LAMC3,Ductal|Ependymal,Dendritic_classical|HSP,Dendritic_classical|ACY3,B_mature|EGR,Fibroblast|SYT1,Macrophage|ISG,Fibroblast|ISG,Squamous|Ciliary,T&NK|T_CD4_EM_Th17,B_mature|ISG,Fibroblast|COCH,Endothelial|Lymphatic_HGF,Ductal|Proximal-tubule,Ductal|Ionocyte,Ductal|Thick-ascending,Ductal|Collecting-duct,Endothelial|Venous_DPEP1,Fibroblast|ITGB8,Dendritic_classical|Langerhans,Ductal|AT2,Ductal|AT1,Fibroblast|CLEC14A,Mural|ISG,Squamous|Keratinocyte_activated,Ductal|Submucosal_mucous,Ductal|Submucosal_serous,Squamous|Basal,T&NK|T_CD4_Eff_IL13,Fibroblast|Satellite,Ductal|Gland_SOX17,Ductal|BEST4,Ductal|Colonocyte,Fibroblast|NRG1,Fibroblast|ADAMDEC1,Squamous|McSC,B_mature|GBP,Dendritic_classical|CXCL9,Squamous|cTEC,Ductal|Urothelial,Endothelial|Venous_CXCL10,Ductal|AT0,Ductal|Trophoblast_extravillous,Squamous|Sebaceous,Ductal|Trophoblast_villous,Squamous|Trophoblast,Ductal|thin-limb,Mural|ROBO2,Squamous|Umbrella,Ductal|Gastric,Ductal|Gingival,T&NK|T_CD4_Eff_IFNG
GSE180544_MSG18,Mouth,,,,,,0.059322033898305086,0.03389830508474576,0.5677966101694916,,,0.00847457627118644,0.00847457627118644,,0.059322033898305086,,,,,,,,,,,,,,,0.8545546049320584,,,0.8350515463917526,0.13745704467353953,,,0.1550632911392405,0.13291139240506328,0.15822784810126583,0.5537974683544303,0.6052631578947368,,,0.2288135593220339,,0.13872832369942195,0.630057803468208,0.23121387283236994,,,,,,,0.03389830508474576,,,,,,,0.589041095890411,0.0273972602739726,,,,0.3835616438356164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027491408934707903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14544539506794163,,0.39473684210526316,,,,,,,,,,,,,,,,,,,,,,,,
GSE180544_MSG21,Mouth,,,,,,0.03225806451612903,,0.8315412186379928,,0.03942652329749104,,,,,,,,,,,,,,,,,,,0.6660253943824548,,,0.9119804400977995,0.08068459657701711,,,0.1829652996845426,0.03470031545741325,0.03470031545741325,0.7476340694006309,0.6481481481481481,,,0.0967741935483871,,0.05343511450381679,0.8015267175572519,0.1450381679389313,,,,,,,,,,,,,,0.5567010309278351,,,,,0.44329896907216493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007334963325183374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034628703347441324,,,,,,,,,,,0.3278183916891112,0.0026933435936898806,0.35185185185185186,,,,,,,,,,,,,,,,,,,,,,,,
GSE181297_Keloid1,Skin,,,,,0.09883720930232558,,0.07267441860465117,0.11337209302325581,,,,,,,,0.10465116279069768,,,,,,,,,,,0.2755905511811024,0.14173228346456693,,,,,,0.3790523690773067,,0.06341289633060207,,0.12540078375489846,0.15283220520128252,0.010515773660490736,0.13372093023255813,,,,0.7200211304807185,0.11780243000528262,,,,,,,0.061046511627906974,,0.0377906976744186,0.020348837209302327,,,,,0.9832775919732442,0.010033444816053512,,,0.2793017456359102,,,,,,0.09448818897637795,,,,,0.35755813953488375,,,0.0004751722499406035,,0.8303635067712045,,,,0.006688963210702341,0.09448818897637795,,0.16217643951399893,,0.2528793189784677,0.44216324486730096,,0.1233071988595866,,,,,,,,,,,,,0.27090635953930897,,,0.04585412211926823,,,,,,,0.31496062992125984,,,,,,,,,,,,,,,,,0.07874015748031496,,,,,0.023535302954431646,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE185224_mag15_gex,Intestine,0.0001807991321641656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37678539143012113,0.46302657747242815,0.060025311878502983,0.05514373531007051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039233411679623936,0.005604773097089134,,,,,,,,,,,,,,,,,,,
GSE185224_mag12_gex,Intestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3323297823066234,0.4881889763779528,0.11081519221861973,0.04759147753589625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021074571560907827,,,,,,,,,,,,,,,,,,,,
GSE185224_mag17_gex,Intestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49695784441547153,0.1553672316384181,0.20773576705780095,0.03694046066927423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09756627553237723,0.005432420686657975,,,,,,,,,,,,,,,,,,,
GSE179346_HD1,Bone marrow,,,,,,,,0.3546712802768166,,,,0.01384083044982699,0.08217993079584775,,,,,0.9212121212121213,,0.06060606060606061,,0.6086956521739131,0.02608695652173913,0.23478260869565218,,,,,,,,,,,,,,,,,0.19290657439446368,0.356401384083045,,,,,,,,,,,,,,,,,,,,,,,,,0.006060606060606061,0.012121212121212121,,,,,,0.008695652173913044,0.06086956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06086956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE179346_RD2,Bone marrow,,,,,,0.0379746835443038,0.05063291139240506,0.046413502109704644,,,,,0.016877637130801686,,,,,0.9821428571428571,,0.017857142857142856,,1.0,,,,,,,,,,,,,,,,,,,0.6286919831223629,0.029535864978902954,,,,,,,,,,,0.04219409282700422,,,,0.14767932489451477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE179346_RD3,Bone marrow,,,,,0.02413793103448276,0.1206896551724138,,0.03793103448275862,,,0.16206896551724137,,0.2517241379310345,,,,,0.9424657534246575,,0.038356164383561646,,0.9682539682539683,0.031746031746031744,,,,,,,,,,,,,,,,,,0.22413793103448276,0.03793103448275862,,,,,,,,,,,0.041379310344827586,,0.04482758620689655,,0.05517241379310345,,,,,,,,,,,0.019178082191780823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE129845_138,Intestine,,,,0.02714164546225615,,,0.011874469889737066,0.3452078032230704,,,,,,,0.009329940627650551,0.0737913486005089,,,,,,0.5262345679012346,0.004629629629629629,0.44753086419753085,,,,0.10679611650485436,,,,,,0.3559322033898305,,0.11864406779661017,,0.1016949152542373,0.423728813559322,,0.13146734520780323,0.2578456318914334,,0.01441899915182358,,,,,,,,0.006785411365564037,0.018659881255301103,,0.013570822731128074,,0.02883799830364716,,,,,,,,,,,,,,,,0.8252427184466019,,0.021604938271604937,,,,,,,0.009329940627650551,0.05173876166242578,,,0.02912621359223301,0.038834951456310676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
